,City,Province,Price,Date
490,Vancouver,British Columbia,145.9,Feb-2020
491,Victoria,British Columbia,143.2,Feb-2020
492,Whitehorse,Yukon,142.5,Feb-2020
493,Yellowknife,Northwest Territories,127.6,Feb-2020
495,St. John's,Newfoundland and Labrador,101.4,Mar-2020
496,Charlottetown and Summerside,Prince Edward Island,90.2,Mar-2020
497,Halifax,Nova Scotia,85.4,Mar-2020
498,Saint John,New Brunswick,95.4,Mar-2020
499,Québec,Quebec,99.1,Mar-2020
500,Montréal,Quebec,99.3,Mar-2020
501,Ottawa,Ontario,84.3,Mar-2020
502,Toronto,Ontario,86.1,Mar-2020
503,Thunder Bay,Ontario,110.9,Mar-2020
504,Winnipeg,Manitoba,84.5,Mar-2020
505,Regina,Saskatchewan,88.4,Mar-2020
506,Saskatoon,Saskatchewan,85.2,Mar-2020
507,Edmonton,Alberta,77.0,Mar-2020
508,Calgary,Alberta,79.2,Mar-2020
509,Vancouver,British Columbia,121.4,Mar-2020
510,Victoria,British Columbia,126.3,Mar-2020
511,Whitehorse,Yukon,125.5,Mar-2020
512,Yellowknife,Northwest Territories,112.4,Mar-2020
514,St. John's,Newfoundland and Labrador,81.3,Apr-2020
515,Charlottetown and Summerside,Prince Edward Island,73.6,Apr-2020
516,Halifax,Nova Scotia,67.9,Apr-2020
517,Saint John,New Brunswick,73.4,Apr-2020
518,Québec,Quebec,81.1,Apr-2020
519,Montréal,Quebec,85.5,Apr-2020
520,Ottawa,Ontario,78.3,Apr-2020
521,Toronto,Ontario,79.1,Apr-2020
522,Thunder Bay,Ontario,84.9,Apr-2020
523,Winnipeg,Manitoba,67.7,Apr-2020
524,Regina,Saskatchewan,71.7,Apr-2020
525,Saskatoon,Saskatchewan,65.6,Apr-2020
526,Edmonton,Alberta,62.4,Apr-2020
527,Calgary,Alberta,66.2,Apr-2020
528,Vancouver,British Columbia,96.7,Apr-2020
529,Victoria,British Columbia,99.4,Apr-2020
530,Whitehorse,Yukon,100.9,Apr-2020
531,Yellowknife,Northwest Territories,94.7,Apr-2020
533,St. John's,Newfoundland and Labrador,91.5,May-2020
534,Charlottetown and Summerside,Prince Edward Island,82.6,May-2020
535,Halifax,Nova Scotia,78.2,May-2020
536,Saint John,New Brunswick,82.8,May-2020
537,Québec,Quebec,93.5,May-2020
538,Montréal,Quebec,97.0,May-2020
539,Ottawa,Ontario,90.7,May-2020
540,Toronto,Ontario,91.2,May-2020
541,Thunder Bay,Ontario,100.1,May-2020
542,Winnipeg,Manitoba,85.2,May-2020
543,Regina,Saskatchewan,87.9,May-2020
544,Saskatoon,Saskatchewan,85.7,May-2020
545,Edmonton,Alberta,83.3,May-2020
546,Calgary,Alberta,87.2,May-2020
547,Vancouver,British Columbia,113.0,May-2020
548,Victoria,British Columbia,107.9,May-2020
549,Whitehorse,Yukon,103.0,May-2020
550,Yellowknife,Northwest Territories,96.7,May-2020
552,St. John's,Newfoundland and Labrador,102.9,Jun-2020
553,Charlottetown and Summerside,Prince Edward Island,94.8,Jun-2020
554,Halifax,Nova Scotia,89.8,Jun-2020
555,Saint John,New Brunswick,92.7,Jun-2020
556,Québec,Quebec,103.8,Jun-2020
557,Montréal,Quebec,105.6,Jun-2020
558,Ottawa,Ontario,99.4,Jun-2020
559,Toronto,Ontario,99.9,Jun-2020
560,Thunder Bay,Ontario,111.8,Jun-2020
561,Winnipeg,Manitoba,95.5,Jun-2020
562,Regina,Saskatchewan,96.7,Jun-2020
563,Saskatoon,Saskatchewan,96.5,Jun-2020
564,Edmonton,Alberta,92.0,Jun-2020
565,Calgary,Alberta,95.1,Jun-2020
566,Vancouver,British Columbia,127.2,Jun-2020
567,Victoria,British Columbia,123.2,Jun-2020
568,Whitehorse,Yukon,115.3,Jun-2020
569,Yellowknife,Northwest Territories,109.5,Jun-2020
571,St. John's,Newfoundland and Labrador,107.2,Jul-2020
572,Charlottetown and Summerside,Prince Edward Island,99.7,Jul-2020
573,Halifax,Nova Scotia,96.1,Jul-2020
574,Saint John,New Brunswick,98.2,Jul-2020
575,Québec,Quebec,109.5,Jul-2020
576,Montréal,Quebec,110.6,Jul-2020
577,Ottawa,Ontario,103.7,Jul-2020
